Community,"Population Count","Median Income ($)","Average Income ($)","Area (km2)","Number of hydrants","Number of Fire halls","Food Programs","Number of homeless shelters","Food available at shelter?","Number of schools","Number of clinics","Number of Hospitals"
Arbutus-Ridge,"15,295",30929,62675,3.70,221,NULL,NULL,NULL,NULL,4,2,NULL
Downtown,"62,030",41858,63251,4.68,337,2,16,8,3,7,4,4
Dunbar-Southlands,"21,425",40463,78117,9.09,333,1,NULL,NULL,NULL,8,NULL,NULL
Fairview,"33,620",46940,61627,3.64,232,1,2,NULL,NULL,7,3,NULL
Grandview-Woodland,"29,175",32438,42896,4.76,329,1,9,2,2,10,3,NULL
Hastings-Sunrise,"34,575",27255,38258,8.34,401,1,2,NULL,NULL,17,NULL,NULL
"Kensington-Cedar Cottage","49,325",28356,38411,7.26,492,2,3,NULL,NULL,17,3,NULL
Kerrisdale,"13,975",35064,77248,6.61,253,NULL,NULL,NULL,NULL,5,2,NULL
Killarney,"29,325",29259,39013,6.94,306,1,1,NULL,NULL,8,1,NULL
Kitsilano,"43,045",44084,63092,6.37,375,1,4,NULL,NULL,11,NULL,NULL
Marpole,"24,460",26787,39020,6.01,313,1,2,NULL,NULL,9,1,NULL
"Mount Pleasant","32,955",42362,54260,3.72,287,1,5,2,1,8,2,NULL
Oakridge,"13,030",26695,46515,4.03,201,NULL,NULL,NULL,NULL,7,NULL,NULL
Renfrew-Collingwood,"51,530",25476,33360,8.11,531,1,4,NULL,NULL,21,1,NULL
"Riley Park","22,555",37327,53060,4.94,263,NULL,6,NULL,NULL,4,NULL,1
Shaughnessy,"8,430",44392,118668,4.48,214,1,NULL,NULL,NULL,10,2,2
"South Cambie","7,970",42094,65459,2.18,112,NULL,NULL,NULL,NULL,8,1,5
Strathcona,"12,585",17631,31534,4.37,224,1,18,5,3,4,NULL,NULL
Sunset,"36,500",25498,34212,6.58,343,NULL,1,NULL,NULL,9,2,NULL
Victoria-Fraserview,"31,065",24758,34298,5.50,357,1,NULL,NULL,NULL,10,NULL,NULL
"West End","47,200",36425,47253,2.26,179,2,1,1,1,3,2,NULL
"West Point Grey","13,065",40304,82042,5.30,191,1,NULL,NULL,NULL,7,NULL,NULL
