TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2021,11,21,6,33,10XX ALBERNI ST,West End,491015.9434,5459166.1397
Break and Enter Commercial,2021,11,26,13,58,10XX BARCLAY ST,West End,490833.8455,5458886.5345
Break and Enter Commercial,2021,12,14,2,2,10XX BEACH AVE,Central Business District,490252.3815,5458162.7231
Break and Enter Commercial,2021,7,17,5,0,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882
Break and Enter Commercial,2021,6,15,4,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532
Break and Enter Commercial,2021,7,23,6,12,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2021,9,2,0,0,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2021,7,20,14,26,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2021,8,25,12,0,10XX BURNABY ST,West End,490500.2381,5458425.9166
Break and Enter Commercial,2021,3,23,17,14,10XX BURRARD ST,West End,490729.8291,5458622.3417
Break and Enter Commercial,2021,2,14,7,35,10XX BUTE ST,West End,490409.1263,5458906.3199
Break and Enter Commercial,2021,10,22,6,29,10XX CAMBIE ST,Central Business District,491407.3592,5458130.6092
Break and Enter Commercial,2021,5,6,3,27,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,5,12,2,17,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,8,11,3,20,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,9,1,4,5,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,10,17,3,48,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,12,26,7,27,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,6,12,4,31,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.1122
Break and Enter Commercial,2021,7,31,3,30,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.1122
