Name;Address;Geom;Geo Local Area
No 19;4396 W 12th Av;"{""coordinates"": [-123.2059, 49.2617], ""type"": ""Point""}";West Point Grey
No 10;2992 Wesbrook Mall;"{""coordinates"": [-123.2382, 49.258], ""type"": ""Point""}";
No 3;2801 Quebec St;"{""coordinates"": [-123.1034, 49.26], ""type"": ""Point""}";Mount Pleasant
No 4;1475 W 10th Av;"{""coordinates"": [-123.1376, 49.2629], ""type"": ""Point""}";Fairview
No 6;1001 Nicola St;"{""coordinates"": [-123.1348, 49.2865], ""type"": ""Point""}";West End
No 7;1090 Haro St;"{""coordinates"": [-123.1259, 49.2835], ""type"": ""Point""}";West End
No 8;895 Hamilton St;"{""coordinates"": [-123.1176, 49.2781], ""type"": ""Point""}";Downtown
No 9;1805 Victoria Drive;"{""coordinates"": [-123.0662, 49.2681], ""type"": ""Point""}";Grandview-Woodland
No 13;4013 Prince Albert ST;"{""coordinates"": [-123.0881, 49.2489], ""type"": ""Point""}";Kensington-Cedar Cottage
No 14;2804 Venables St;"{""coordinates"": [-123.0464, 49.2764], ""type"": ""Point""}";Hastings-Sunrise
No 15;3003 E 22nd Av;"{""coordinates"": [-123.0412, 49.2509], ""type"": ""Point""}";Renfrew-Collingwood
No 18;1375 W 38th Av;"{""coordinates"": [-123.1366, 49.2373], ""type"": ""Point""}";Shaughnessy
No 21;5425 Carnarvon St;"{""coordinates"": [-123.1733, 49.2373], ""type"": ""Point""}";Dunbar-Southlands
No 22;1005 W 59th Av;"{""coordinates"": [-123.1298, 49.2174], ""type"": ""Point""}";Marpole
No 5;3090 Rosemont Drive;"{""coordinates"": [-123.0421, 49.2154], ""type"": ""Point""}";Killarney
No 12;2460 Balaclava St;"{""coordinates"": [-123.1736, 49.2648], ""type"": ""Point""}";Kitsilano
No 17;7070 Knight St;"{""coordinates"": [-123.0767, 49.2198], ""type"": ""Point""}";Victoria-Fraserview
No 20;5402 Victoria Drive;"{""coordinates"": [-123.0651, 49.2358], ""type"": ""Point""}";Kensington-Cedar Cottage
No 1;900 Heatley Av;"{""coordinates"": [-123.0896, 49.2758], ""type"": ""Point""}";Strathcona
No 2;199 Main St;"{""coordinates"": [-123.1, 49.2834], ""type"": ""Point""}";Downtown
