Program Name;Description;Program Status;Organization Name;Program Population Served;Address Extra Info;Location Address;Local Areas;Provides Meals;Provides Hampers;Delivery Available;Takeout Available;Wheelchair Accessible;Meal Cost;Hamper Cost;Signup Required;Signup Phone Number;Signup Email;Requires Referral;Referral Agency Name;Referral Phone Number;Referral Email;Latitude;Longitude;Last Update Date;geom
PHS - Washington Community Market;Low cost essential food and household supplies, Mon-Sat 9am-5pm. For info contact 604-683-0073.;Open;Portland Hotel Society (PHS);;Ground Floor;179 E Hastings St, Vancouver, BC;Downtown;False;True;No;No;Yes;;Low cost;No;;;No;;;;49.281418;-123.100279;2022-08-10T07:34:53-06:00;49.281418,-123.100279
Union Gospel Mission - Meal Program;Lunch every day at 11am (tickets at 10:30am). Dinner M-F at 6:30pm (tickets at 6pm), Sat-Sun at 4pm (tickets at 3:30pm). For info call (604) 253-3323.;Open;Union Gospel Mission;;;601 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.281483;-123.091066;2022-08-10T07:28:52-06:00;49.281483,-123.091066
Japanese Community Volunteers - Meals on Wheels;Japanese style bentos. Call by Friday morning to reserve pickup or delivery the following Tues, 11am-Noon.;Open;Japanese Community Volunteers Association;seniors and those with challenges going out or cooking;;101-42 West 8th Ave., Vancouver, BC;Mount Pleasant;True;False;Yes;Yes;Yes;$8.00;;Yes;604-687-2172;;No;;;;49.263562;-123.105941;2022-08-10T10:09:07-06:00;49.263562,-123.105941
YWCA Crabtree Corner - Meal Programs;"Breakfast: Mon-Fri, 8:45-9:45am. 
Lunch: Mon, Tues, Thurs, Fri: 1-2:30pm. Wed: 12-1:15pm.";Open;YWCA Metro Vancouver;Women and children;;533 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.281501;-123.092398;2022-08-22T05:53:47-06:00;49.281501,-123.092398
Evelyne Saller Centre - Low Cost Meals;Breakfast 10am-12pm, Lunch 11am-3pm, Dinner 3-5:50pm. Menu and info at https://vancouver.ca/parks-recreation-culture/evelyne-saller-centre-cafeteria.aspx or 604-665-3075.;Open;Evelyne Saller Centre;;;404 Alexander St, Vancouver, BC;Strathcona;True;False;No;No;Yes;$2.00;;No;;;No;;;;49.283977;-123.094983;2022-08-22T05:35:30-06:00;49.283977,-123.094983
The Door is Open - Meal Program;Anyone on Mon, Tues, Thurs, Fri, Sat at 11am and Sun at 11:30am. Women only on Wed at 8:30am & 11:30am. More info at https://www.thedoorisopen.ca/free-lunch-program/;Open;The Door is Open;;;255 Dunlevy Ave, Vancouver, BC;Strathcona;True;False;No;Unknown;Unknown;Free;;No;;;No;;;;49.282407;-123.095626;2022-08-09T04:20:20-06:00;49.282407,-123.095626
Lookout Society's Powell St. Getaway - Snacks;Daily at 10:30am, 12:30pm, 2pm, 4pm & 6:30pm.;Open;Lookout Housing and Health Society;;;450 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.280912;-123.094276;2022-08-10T07:18:43-06:00;49.280912,-123.094276
Inner-City Women's Initiatives Essential Services;W, F 5pm;Open;Inner-City Women’s Initiatives Society;women;;101 E Cordova St, Vancouver, BC;Downtown;True;False;No;Yes;Yes;Free;;Unknown;;;No;;;;49.282577;-123.101593;2020-12-03T05:44:58-07:00;49.282577,-123.101593
Quest Food Exchange Low Cost Grocery (Hastings);Mon-Fri: 9am-5:45pm. Sat 9am-3:45pm. Sun 11am-3pm. Closed holidays.;Open;Quest Food Exchange;;;611 E Hastings St, Vancouver, BC;Strathcona;False;True;Unknown;No;Yes;;Low cost;Unknown;;;Yes;;(604) 602-0186;;49.281247;-123.090982;2022-08-22T05:51:25-06:00;49.281247,-123.090982
Kits Cares Café – Grocery Hamper Program;For info contact kitscarescafe@tenth.ca. Operated by Tenth Church.;Open;Tenth Church;;Kits Cares Cafe location as of Sept.7/21;3512 W 7th Ave, Vancouver, BC;Kitsilano;False;True;No;Yes;Yes;;Free;No;;;No;;;;49.265757;-123.182079;2021-12-22T02:30:03-07:00;49.265757,-123.182079
