"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LL-3000","Hospitals","17643939","BC Children's Hospital","17992315","BC Children's Hospital","Provides community hospital services.","17954798","17643950","","http://www.bcchildrens.ca/",,"Y","Interpreter services available","Emergency Department open 24 hours a day, 7 days a week","4500 Oak Street","","","","Vancouver","BC","V6H 3V4","49.244514","-123.124185","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643950"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17690738","Abbotsford Regional Hospital and Cancer Centre","Provides community hospital services.","18616209","17644367","6048514700","https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","32900 Marshall Road","","","","Abbotsford","BC","V2S 0C2","49.038152","-122.313003","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690738&SiteResourceAgencyNum=17644367"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17691002","Delta Hospital","Provides community hospital services.","17691017","17644361","6049461121","https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","5800 Mountain View Boulevard","","","","Delta","BC","V4K 3V6","49.084610","-123.059929","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691002&SiteResourceAgencyNum=17644361"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992280","Burnaby Hospital","Provides community hospital services.","17992282","17644353","6044344211","https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.W1jxFdVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","3935 Kincaid Street","","","","Burnaby","BC","V5G 2X6","49.248776","-123.016837","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992280&SiteResourceAgencyNum=17644353"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992283","Chilliwack General Hospital","Provides community hospital services.","17690993","17644355","6047954141","https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","45600 Menholm Road","","","","Chilliwack","BC","V2P 1P7","49.165763","-121.962422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992283&SiteResourceAgencyNum=17644355"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992296","Langley Memorial Hospital","Provides community hospital services.","17691069","17644429","6045146000","https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","22051 Fraser Highway","","","","Langley","BC","V3A 4H4","49.093175","-122.613957","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992296&SiteResourceAgencyNum=17644429"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992306","Royal Columbian Hospital","Provides community hospital services.","17691389","17644420","6045204253","https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital#.W1jyEtVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","330 E Columbia Street","","","","New Westminster","BC","V3L 3W7","49.226790","-122.892844","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992306&SiteResourceAgencyNum=17644420"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Peace Arch Hospital","Provides community hospital services.","17691358","17644418","6045315512","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","15521 Russell Avenue","","","","White Rock","BC","V4B 2R4","49.029793","-122.793632","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644418"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Dr. Al Hogg Pavilion","Provides community hospital services.","18757780","17644873","6045415837","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"","15521 Russell Avenue","","","","White Rock","BC","V4B 2R4","49.029322","-122.792131","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644873"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992312","Mission Memorial Hospital","Provides community hospital services.","17691259","17644460","6048266261","https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital#.W1jpstVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","7324 Hurd Street","","","","Mission","BC","V2V 3H5","49.135186","-122.331733","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992312&SiteResourceAgencyNum=17644460"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992330","Fraser Canyon Hospital","Provides community hospital services.","17691037","17644442","6048695656","https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital#.W1jr8NVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","1275 7th Avenue","","","","Hope","BC","V0X 1L4","49.376899","-121.424345","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992330&SiteResourceAgencyNum=17644442"
