"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LN-9300","Walk In Medical Clinics","17637050","Kerrisdale Medical Clinic","17637051","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Walk-in service available, or call to book a same or next-day virtual or in-person appointment.","17637053","17637052","6042619494","https://wellclinics.ca/properties/kerrisdale-medical-clinic/",,"Y",,"Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 09:00 - 14:00; Sat 09:00 - 13:00; Sun 09:00 - 13:00; Note that hours are subject to physician availability and patient volume; hours may be limited. Call or see website for current schedule. Closed statutory holidays.","2077 West 42nd Avenue","","","","Vancouver","BC","V6M 2B4","49.233569","-123.154106","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17637051&SiteResourceAgencyNum=17637052"
"LN-9300","Walk In Medical Clinics","17638178","Abbotsford Village Medical Clinic","17638179","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. Walk-in service available, or call to book a same or next-day virtual or in-person appointment.","17638181","17638180","6045047145","https://www.abbotsfordvillagemedical.com/",,"Y",,"Mon 09:00 - 12:00; Tue 09:00 - 12:00; Wed 09:00 - 12:00; Thu 09:00 - 12:00; Fri 09:00 - 12:00; Sat 09:00 - 12:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","302-2050 Sumas Way","","","","Abbotsford","BC","V2S 2C7","49.038729","-122.269714","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638179&SiteResourceAgencyNum=17638180"
"LN-9300","Walk In Medical Clinics","17638197","Spectrum Medical","17638198","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. No appointment required. It is recommended that you call before going to the clinic to confirm hours and availability.","17638200","17638199","6048466246","https://spectrumbc.ca/",,"Y",,"Mon 08:00 - 16:00; Tue 08:00 - 13:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 08:00 - 16:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","6640 Vedder Road","","","","Chilliwack","BC","V2R 0J2","49.123775","-121.958316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638198&SiteResourceAgencyNum=17638199"
"LN-9300","Walk In Medical Clinics","17638257","PrimeCare Medical Centre","17638258","Walk-in Clinic","Provides access to non-urgent medical care for people who need health advice, assessment and or treatment for minor illness and injuries. All appointments are by phone or virtual unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted.","17638260","17638259","6045193767","https://www.primecaremedicalcentre.com/walkin-clinic",,"Y",,"Mon 08:00 - 16:30; Tue 08:00 - 16:30; Wed 08:00 - 16:30; Thu 08:00 - 16:30; Fri 08:00 - 16:30; Sat 08:00 - 13:30; Sun 08:00 - 12:00; Note that hours are subject to physician availability and patient volume. Statutory holiday hours: 08:00 - 12:00; closed for lunch 12:00 - 13:00.","201-7315 Edmonds Street","","","","Burnaby","BC","V3N 1A7","49.218846","-122.951615","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638258&SiteResourceAgencyNum=17638259"
"LN-9300","Walk In Medical Clinics","17638453","Valleyview Treatment Centre","17638454","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Walk-in service available, or call to book a same or next-day phone or in-person appointment.","17638456","17638455","2507439395",,,"Y",,"Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Sat 09:00 - 15:00; Sun 09:00 - 15:00; Note that hours are subject to physician availability and patient volume. Closed for lunch 12:00 - 13:00, and on statutory holidays.","1400 Cowichan Bay Road","","","","Cobble Hill","BC","V0R 1L0","48.710695","-123.607747","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638454&SiteResourceAgencyNum=17638455"
"LN-9300","Walk In Medical Clinics","17638815","West Coast Urgent Care Clinic","17638816","Walk-in Clinic","Provides non-urgent medical care for people on a walk-in basis to get advice, assessment and treatment for minor illness and injuries. No appointment required.","17638818","17638817","7784211219",,,"Y",,"Mon 11:00 - 19:00; Tue 11:00 - 19:00; Wed 11:00 - 19:00; Thu 11:00 - 19:00; Fri 11:00 - 19:00; Note that hours are subject to physician availability and patient volume. Closed between 13:00 - 17:00, and on statutory holidays.","3949 Maple Way","","","","Port Alberni","BC","V9Y 0B2","49.263571","-124.792035","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638816&SiteResourceAgencyNum=17638817"
"LN-9300","Walk In Medical Clinics","17639207","University of Northern British Columbia","17639208","Walk-in Clinic","Provides non-emergency health care services to university students. All appointments are by phone unless the doctor determines there is a need for an in-person assessment. Call to schedule; no walk-in accepted. Health support for students includes managing short and long-term illness or health problems, physical examinations, health screening and assessment, women's health services, and nicotine intervention programs.","17639210","17639209","2509606370","https://www2.unbc.ca/medical-clinic","wellness@unbc.ca","Y",,"Mon 09:00 - 16:00; Tue 09:00 - 16:00; Wed 09:00 - 16:00; Thu 09:00 - 16:00; Fri 09:00 - 12:00; Note that hours are subject to physician availability and patient volume. Closed statutory holidays, and for lunch 12:00 - 13:30.","3333 University Way","","","","Prince George","BC","V2N 4Z9","53.889353","-122.808631","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17639208&SiteResourceAgencyNum=17639209"
"LN-9300","Walk In Medical Clinics","17640701","Saanich Plaza Medical Clinic","17640702","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Walk-in service available, or call to book a same or next-day phone or in-person appointment.","17640704","17640703","2504751101","https://www.saanichplazamedicalclinic.ca/walk-in-clinic",,"Y",,"Mon 08:00 - 16:30; Tue 08:00 - 16:30; Wed 08:00 - 16:30; Thu 08:00 - 16:30; Fri 08:00 - 16:30; Sat 08:00 - 13:00; Note that hours are subject to physician availability and patient volume. Closed for lunch 11:30 - 13:00, and on statutory holidays.","3544 Blanshard Street","","","","Victoria","BC","V8X 1W3","48.456348","-123.374168","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640702&SiteResourceAgencyNum=17640703"
"LN-9300","Walk In Medical Clinics","17640717","Lansdowne Treatment Centre","17640718","Walk-in Clinic","Provides access to non-urgent medical care by phone or in-person visit for people who need health advice, assessment and or treatment for minor illness and injuries. Appointment required; no walk-in accepted. Online booking is available or call the clinic to schedule.","17640720","17640719","2505924212","https://lansdownemedicalclinic.com/",,"Y",,"Mon 08:00 - 17:00; Tue 08:00 - 17:00; Wed 08:00 - 17:00; Thu 08:00 - 17:00; Fri 08:00 - 17:00; Note that hours are subject to physician availability and patient volume.","120-1641 Hillside Avenue","","","","Victoria","BC","V8T 5G1","48.445104","-123.334011","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640718&SiteResourceAgencyNum=17640719"
"LN-9300","Walk In Medical Clinics","17640725","Commercial Drive Medical Clinic","17640726","Walk-in Clinic","Provides medical care by phone for non-urgent medical concerns such as fever, cold and flu symptoms, rashes, and minor injury, pain or infection. In-person services are not available.","17640728","17640727","6042555922",,,"Y",,"Clinic opens Wednesday at 09:00, at which time names are taken for the day. Note that hours are subject to physician availability and patient volume. Closed statutory holidays.","1515 Commercial Drive","","","","Vancouver","BC","V5L 3Y1","49.271111","-123.069667","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640726&SiteResourceAgencyNum=17640727"
