ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-W17-003;DSTR;TC;C71P;3.0;0.6;W-WEST;W-WEST;Blue;Yes;;;;NWC E 29TH AV & MCHARDY ST;37B02;COVAV;;;1995-01-01;__FJE8LG;Active;;N;IN_SERVICE;Yes;2009-11-10T02:00:54-07:00;covDBimport;SDE 834766;27509;27509;"{""coordinates"": [-123.0298836140743, 49.244546567120715], ""type"": ""Point""}";Renfrew-Collingwood
WH-T20-020;DSTR;TC;TC1;191.7;1.5;S-SOUTH;S-SOUTH;Blue;Yes;;;WS 5800;T. MARGARETS S;57A02;COVAV;;;1958-01-01;__FJ8T5Y;Active;;N;IN_SERVICE;No;2009-11-10T02:01:00-07:00;covDBimport;KAH78;27514;27514;"{""coordinates"": [-123.05666865806764, 49.23097000440364], ""type"": ""Point""}";Victoria-Fraserview
WH-U06-001;DSTR;TC;TC1;9.8;3.4;E-EAST;E-EAST;Blue;Yes;;;;NEC WALL ST & N KAMLOOPS ST;11B06;COVAV;;;1930-01-01;__FJ8TMF;Active;;N;IN_SERVICE;No;2009-11-10T02:01:20-07:00;covDBimport;SDE 834766;27519;27519;"{""coordinates"": [-123.05430509213039, 49.29126378041904], ""type"": ""Point""}";Hastings-Sunrise
WH-Q16-019;DSTR;Mueller;SupCent250;1.2;1.5;N-NORTH;N-NORTH;Blue;Yes;;;;NEC CAROLINA ST & E KING EDWARD AV;41D28;COVAV;;;1965-01-01;__FJ8VIZ;Active;;N;IN_SERVICE;Yes;2009-11-10T02:01:27-07:00;covDBimport;ENYAMW;27523;27523;"{""coordinates"": [-123.09200380282995, 49.24876874018081], ""type"": ""Point""}";Riley Park
WH-N06-003;DSTR;TC;C71P;4.3;11.5;E Line;E Line;Blue;Yes;;;SEC 1700;BAYSHORE DRIVE;04B34;COVAV;;;1997-01-01;__FJ8WEE;Active;;N;IN_SERVICE;Yes;2009-11-10T02:01:49-07:00;covDBimport;ENFABSVR;27532;27532;"{""coordinates"": [-123.13300011106632, 49.29289118346136], ""type"": ""Point""}";Downtown
WH-V16-004;DSTR;TC;TC1;110.3;0.6;W-WEST;W-WEST;Yellow;Yes;;;Wend 2900;E 25TH A;39C23;COVAV;;;1947-01-01;__FJ8SN0;Active;;N;IN_SERVICE;No;2009-11-10T02:02:40-07:00;covDBimport;SDE 834766;27543;27543;"{""coordinates"": [-123.04330411388369, 49.247822463268946], ""type"": ""Point""}";Renfrew-Collingwood
WH-P18-007;DSTR;TC;TC1;144.2;0.5;S-SOUTH;S-SOUTH;Blue;No;;;ES 5000;ONTARIO ST;50D01;COVAV;2022-09-26;PER M.CHIN - FD NOTIFIED;1954-01-01;__FJ8UFQ;Active;;N;IN_SERVICE;No;2009-11-10T02:02:00-07:00;covDBimport;CAN7222;27547;27547;"{""coordinates"": [-123.10531704049953, 49.23926405024052], ""type"": ""Point""}";Riley Park
WH-Q22-020;DSTR;TC;TC1;120.4;0.9;E-EAST;E-EAST;Green;Yes;;;NS 500;E 56TH AV;73B34;COVAV;;;1962-01-01;__FJ8WXZ;Active;;N;IN_SERVICE;No;2009-11-10T02:02:59-07:00;covDBimport;SDE 834766;27551;27551;"{""coordinates"": [-123.09304703492872, 49.21923642114468], ""type"": ""Point""}";Sunset
WH-T17-008;DSTR;TC;TC1;2.7;1.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC SIDNEY ST & KINGSWAY;52D29;COVAV;;;1932-01-01;__FJ8TE1;Active;;N;IN_SERVICE;No;2009-11-10T02:03:07-07:00;covDBimport;SDE 834766;27557;27557;"{""coordinates"": [-123.06374430865908, 49.24430952161481], ""type"": ""Point""}";Kensington-Cedar Cottage
WH-M23-003;DSTR;AVK;2780;1.2;1.8;W-WEST;W-WEST;Blue;Yes;;;;NWC W 61ST AV & ADERA ST;85B29;COVAV;;;2009-07-28;__FJ8VEK;Active;;N;IN_SERVICE;Yes;2009-11-10T02:02:00-07:00;covDBimport;integration;27570;27570;"{""coordinates"": [-123.14358296825249, 49.21599881026587], ""type"": ""Point""}";Marpole
WH-I13-018;DSTR;TC;TC1;4.3;2.7;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC COLLINGWOOD ST & W 15TH AV;45C09;COVAV;;;1964-01-01;__FJ8U7C;Active;;N;IN_SERVICE;No;2009-11-10T02:02:25-07:00;covDBimport;SDE 834766;27572;27572;"{""coordinates"": [-123.18214690626792, 49.25874963645011], ""type"": ""Point""}";Kitsilano
WH-N13-022;DSTR;TC;TC1;0.0;0.6;;;Blue;Yes;;;;NEC LAUREL ST & W 14TH AV;31B37;COVAV;;;1987-01-01;__FJFKAY;Active;;N;IN_SERVICE;No;2009-11-10T02:02:26-07:00;covDBimport;SDE 834766;27573;27573;"{""coordinates"": [-123.12424433909091, 49.25879956991508], ""type"": ""Point""}";Fairview
WH-V13-016;DSTR;TC;TC1;120.4;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;WS 2600;LILLOOET ST;34D10;COVAV;;;1987-01-01;__FJ8SPK;Active;;N;IN_SERVICE;No;2009-11-10T02:02:00-07:00;covDBimport;ENTSD;27577;27577;"{""coordinates"": [-123.03802353714798, 49.26068913965356], ""type"": ""Point""}";Renfrew-Collingwood
WH-P11-037;DSTR;TC;C71P;1.5;2.1;E Line;E Line;Blue;Yes;;;151;ATHLETES WAY;;;;;2008-01-01;__FNKA35;Active;;N;IN_SERVICE;Yes;2009-11-10T02:00:00-07:00;covDBimport;SDE 834766;27580;27580;"{""coordinates"": [-123.10803215456023, 49.27165052857528], ""type"": ""Point""}";Mount Pleasant
WH-U10-005;DSTR;Mueller;SupCent250;1.5;1.5;E-EAST;E-EAST;Green;Yes;;;;SEC KITCHENER ST & KAMLOOPS ST;18A02;COVAV;;;1929-01-01;__FJ8TLT;Active;;N;IN_SERVICE;Yes;2009-11-10T02:00:27-07:00;covDBimport;ENYAMW;27586;27586;"{""coordinates"": [-123.05452596623326, 49.27221900897796], ""type"": ""Point""}";Hastings-Sunrise
WH-K19-022;DSTR;TC;C71P;3.0;1.8;N-NORTH;N-NORTH;Blue;Yes;;;;SEC WEST BOULEVARD & W 42ND AV;64C18;COVAV;;;1952-01-01;__FJFK4U;Active;;Y;IN_SERVICE;Yes;2009-11-10T02:00:00-07:00;covDBimport;ENBH;27590;27590;"{""coordinates"": [-123.15547619898344, 49.233721257745316], ""type"": ""Point""}";Kerrisdale
WH-J11-020;DSTR;Mueller;CENTURION;1.5;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC BAYSWATER ST & W 4TH AV;29A10;COVAV;2013-05-15;Temp water feed;1953-01-01;__FJ8WS8;Active;;N;IN_SERVICE;Yes;2009-11-10T02:00:00-07:00;covDBimport;WAS17;27594;27594;"{""coordinates"": [-123.17118298987143, 49.26829105983275], ""type"": ""Point""}";Kitsilano
WH-W11-002;DSTR;AVK;2780;1.8;1.9;W-WEST;W-WEST;Blue;Yes;;;;SWC GRAVELEY ST & RUPERT ST;18C16;COVAV;;;1931-01-01;__FJ8SSI;Active;;N;IN_SERVICE;Yes;2009-11-10T02:00:49-07:00;covDBimport;SDE 834766;27595;27595;"{""coordinates"": [-123.03391309202378, 49.270333337664376], ""type"": ""Point""}";Hastings-Sunrise
WH-L05-006;DSTR;TC;TC1;0.0;0.3;;;Green;Yes;;;2000;W GEORGIA ST;SPH50;STANLEY PARK;2007-12-11;control valve is closed by parks board - REQUIRES REPLACEMENT (HIT BY TREE);1930-01-01;;Active;;Y;IN_SERVICE;No;2009-11-10T02:07:00-07:00;covDBimport;SDE 834766;27596;27596;"{""coordinates"": [-123.14929164128507, 49.2970961669698], ""type"": ""Point""}";
WH-U23-010;DSTR;TC;TC1;3.0;3.0;N-NORTH;N-NORTH;Blue;Yes;;;;NWC VIVIAN DRIVE & LYNBROOK DRIVE;75B24;COVAV;;;1959-01-01;__FJ8S8D;Active;;N;IN_SERVICE;No;2009-11-10T02:07:12-07:00;covDBimport;SDE 834766;27597;27597;"{""coordinates"": [-123.05071800551059, 49.21718034671747], ""type"": ""Point""}";Victoria-Fraserview
WH-S08-007;DSTR;TC;TC1;3.4;2.4;N-NORTH;N-NORTH;Blue;Yes;;;;NEC MCLEAN DRIVE & E HASTINGS ST;10B27;COVAV;;;1974-01-01;__FJ8T07;Active;;N;IN_SERVICE;No;2009-11-10T02:07:15-07:00;covDBimport;SDE 834766;27598;27598;"{""coordinates"": [-123.07403090944456, 49.281447606705626], ""type"": ""Point""}";Grandview-Woodland
WH-V13-015;DSTR;TC;TC1;2.4;2.1;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC LILLOOET ST & E BROADWAY;34D06;COVAV;;;1961-01-01;__FJ8SPO;Active;;N;IN_SERVICE;No;2009-11-10T02:07:25-07:00;covDBimport;SDE 834766;27602;27602;"{""coordinates"": [-123.03802742686345, 49.261744770977636], ""type"": ""Point""}";Renfrew-Collingwood
WH-S12-014;DSTR;TC;TC1;1.8;1.5;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC WOODLAND DRIVE & E 7TH AV;33A33;COVAV;;;1995-01-01;__FJ8SZD;Active;;N;IN_SERVICE;No;2009-11-10T02:07:33-07:00;covDBimport;SDE 834766;27605;27605;"{""coordinates"": [-123.0737145505817, 49.26409706703298], ""type"": ""Point""}";Grandview-Woodland
WH-V15-009;DSTR;TC;TC1;2.7;1.2;;;Blue;Yes;;;;SEC E 21ST AV & NOOTKA ST;38D19;COVAV;;;1963-03-21;__FJFK32;Active;;Y;IN_SERVICE;No;2009-11-10T02:07:49-07:00;covDBimport;SDE 834766;27611;27611;"{""coordinates"": [-123.04142217928823, 49.251415702658555], ""type"": ""Point""}";Renfrew-Collingwood
WH-S08-001;DSTR;TC;TC1;6.1;7.9;W-WEST;W-WEST;Blue;Yes;;;;SWC POWELL ST & CLARK DRIVE;09C08;COVAV;;;1982-01-01;__FJ8WI9;Active;;N;IN_SERVICE;No;2009-11-10T02:07:00-07:00;covDBimport;SDE 834766;27613;27613;"{""coordinates"": [-123.0773909866886, 49.28295676558879], ""type"": ""Point""}";Strathcona
WH-N20-020;DSTR;TC;TC1;136.9;1.8;N-NORTH;N-NORTH;Yellow;Yes;;;WS 6075;ILLOW ST;60B21;;;;1960-01-01;__FJ8VBB;Active;;N;IN_SERVICE;No;2009-11-10T02:07:54-07:00;covDBimport;SDE 834766;27614;27614;"{""coordinates"": [-123.12348061512216, 49.23045789176253], ""type"": ""Point""}";Oakridge
WH-M08-021;DSTR;Mueller;SupCent250;1.8;0.5;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC JERVIS ST & DAVIE ST;06B16;COVAV;;;;__FJ8VVQ;Active;;N;IN_SERVICE;Yes;2009-11-10T02:07:59-07:00;covDBimport;PIY88;27616;27616;"{""coordinates"": [-123.13496656107517, 49.282673593136536], ""type"": ""Point""}";West End
WH-J13-004;DSTR;TC;TC1;3.7;2.99;N-NORTH;N-NORTH;Blue;Yes;;;;NWC MACKENZIE ST & W 11TH AV;29B18;COVAV;;;1965-01-01;__FJ8U7S;Active;;N;IN_SERVICE;No;2009-11-10T02:08:11-07:00;covDBimport;SDE 834766;27622;27622;"{""coordinates"": [-123.17028654623671, 49.26243468781811], ""type"": ""Point""}";Kitsilano
WH-T08-023;DSTR;TC;C71P;2.7;10.1;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC TEMPLETON DRIVE & TRIUMPH ST;10D08;COVAV;;;2004-01-15;__FJ8TIR;Active;;N;IN_SERVICE;Yes;2009-11-10T02:08:24-07:00;covDBimport;SDE 834766;27629;27629;"{""coordinates"": [-123.05982927453796, 49.283789675639234], ""type"": ""Point""}";Grandview-Woodland
